ts,acc.x,acc.y,acc.z,acc.roll,acc.pitch,acc.impact,aqi.value,co2.ppm,co2.humidity,co2.temperature,env.humidity,env.temperature,gas.humidity,gas.pressure,gas.resistance,gas.temperature,gps.age,gps.alt,gps.lat,gps.lon,param,state,status,version,asset_id,config_ts,particles.mc_1p0,particles.mc_2p5,particles.mc_4p0,particles.nc_0p5,particles.nc_1p0,particles.nc_2p5,particles.nc_4p0,particles.mc_10p0,particles.nc_10p0,particles.typical_particle_size,fw_version.major,fw_version.minor,fw_version.patch
"2024-07-08, 8:59:54",0.05746084,0.29448682,10.141838,-1.6632204,0.32448176,0,115.19168,924,39.709,18.216,35.79712,20.37445,34.872,83.207,11914,20.99,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.1650696,5.313507,6.124298,26.36243,32.243416,33.177986,33.27662,6.460114,33.407467,0.62664795,1,1,0
"2024-07-08, 9:00:55",0.050278235,0.29209262,10.139444,-1.6500951,0.28399116,0,113.61794,914,38.993,18.392,35.180664,20.515442,34.195,83.205,12078,21.16,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.6150055,4.6214905,5.242584,22.815554,27.924929,28.872683,28.985476,5.5390935,28.9176,0.6227112,1,1,0
"2024-07-08, 9:01:55",0.05267244,0.29448682,10.134656,-1.6643984,0.29765275,0,112.073364,897,38.571,18.539,34.87549,20.696716,33.501,83.209,12169,21.32,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.4173737,4.3719788,4.9634094,21.620241,26.38196,27.219362,27.303347,5.2418523,27.28967,0.62789917,1,1,0
"2024-07-08, 9:02:56",0.05267244,0.2896984,10.134656,-1.6373497,0.2976568,0,111.20489,886,38.203,18.681,34.960938,20.87799,33.199,83.211,12355,21.48,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.8026276,4.7517395,5.386261,24.242311,29.477663,30.35071,30.46985,5.6675115,30.380003,0.6225891,1,1,0
"2024-07-08, 9:03:57",0.055066638,0.29448682,10.132261,-1.6647916,0.31125563,0,111.09203,878,37.895,18.851,34.362793,20.948486,33.05,83.215,12494,21.63,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.072418,5.09256,5.730011,25.79651,31.582645,32.374275,32.607674,6.043488,32.523678,0.6124878,1,1,0
"2024-07-08, 9:04:57",0.05746084,0.29448682,10.134656,-1.6643984,0.32471153,0,109.041176,866,37.393,18.972,33.94165,21.079407,32.712,83.217,12698,21.77,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.3751984,4.2048645,4.706085,21.56946,26.18616,26.881472,27.03821,4.9457097,27.009886,0.6083069,1,1,0
"2024-07-08, 9:05:58",0.05267244,0.30166942,10.129868,-1.7057753,0.2977871,0,108.4944,844,37.159,19.113,33.825684,21.220398,32.168,83.213,12807,21.92,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.997879,5.025421,5.6699524,25.278933,30.89905,31.645632,31.815554,5.975495,31.896116,0.6169739,1,1,0
"2024-07-08, 9:06:59",0.055066638,0.29688102,10.134656,-1.6779224,0.31118,0,107.830956,831,36.816,19.193,33.624268,21.260681,31.978,83.219,12925,22.03,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.2047424,5.2867737,6.032501,26.467411,32.341072,33.4065,33.44068,6.390656,33.72192,0.62145996,1,1,0
"2024-07-08, 9:08:00",0.059855044,0.30166942,10.132261,-1.7053726,0.3383137,0,106.58653,825,36.599,19.276,33.52661,21.38153,31.719,83.213,13045,22.12,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.71669,4.698517,5.316559,23.39905,28.658815,29.425417,29.575808,5.637604,29.685179,0.6070862,1,1,0
"2024-07-08, 9:09:00",0.05267244,0.29688102,10.13705,-1.6775265,0.29758045,0,106.50514,825,36.352,19.423,33.20923,21.50238,31.603,83.211,13209,22.23,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.754654,4.726227,5.3332825,23.957155,29.219362,29.928347,30.071413,5.625031,30.02844,0.6017761,1,1,0
